ID,Title,Body,Child_age,Child_gender,Parent_gender,Keywords,Mandatory_content,Translation_language,Moderation_state
6011,What to do if a baby has a diaper rash?,"<p>If your baby has a diaper rash, you need to change diapers every two hours.</p>

<p>To clean the diaper region, you should use plain warm water and soap or sydent after the stool. Do not wipe the painful areas, but use a jet of warm water. That way, clean the painful areas. Leave your baby's bare buttocks as often as possible so that the skin dries in the air. Then apply a thin layer of zinc-based protective cream, and only then a diaper.</p>",51,59,60,"diaper rash, Thigh chafing",,en,draft
6016,"A blister appeared on the baby&#039;s upper lip, is it dangerous and what should we do?","<p>Most often, breastfed babies experience a thickening of the skin on the mouth, resembling a blister. It can occur on the upper and lower lip because the baby makes a ""vacuum"" with the breast when sucking. This phenomenon does not require any treatment, it passes completely spontaneously.</p>",46,,,"mouth care, hygiene",,en,draft
6021,Does a baby need pajamas?,"<p>Dress newborn babies in moles, bunnies, bodysuits ... everything that is comfortable and does not limit the baby's mobility and is made of natural materials. There is no difference in the baby's wardrobe for day and night. As the baby grows and the daily activities become more pronounced, it is necessary to separate the wardrobe for sleeping and for the daily variant.</p>",48,,,"safe sleeping, pajamas",,en,draft
6026,Does cradle cap only occur in newborn babies?,"<p>Cradle cap is a phenomenon that can occur in both babies and children. It usually occurs in a period of up to a year, but it can also appear in a small child. The cradle cap is the result of excessive work of the sebaceous glands, which begin to produce too much fat.</p>

<p>Sometimes the cradle cap is caused by the hypersensitivity of the scalp to the hygiene products that are used, and they do not wash well, especially when the baby has thick hair or the parents wash the baby's hair too gently, fearing the baby's fontanelle.</p>

<p>The treatment for removing the cradle cap is the same regardless of the age and length of the hair, with the fact that babies with a longer hair need to rub a towel a little longer and more vigorously.</p>",48,,,Cradle cap,,en,draft
6031,How do I wash my baby&#039;s clothes?,"<blockquote>
<p>The baby's clothes should always be washed separately from the wardrobe of other housemates.</p>
</blockquote>

<p>There are detailed instructions on washing and drying to avoid destruction and shrinkage of the fabric on the labels inside of the baby clothes. The clothes you just bought it is enough to wash at 30 degrees.</p>

<p>Coloured clothes are always washed at 40 C, white dressing room at 60 C, towels, cotton diapers, linen at the highest temperatures (90 C).</p>

<p>After washing, turn on an additional rinse <strong><em>once to two times.</em> </strong>When choosing a powder, it is best to be <strong><em>liquid</em></strong>, that it is mild, delicate, biodegradable and contains additives of natural origin.</p>",48,59,60,"Baby clothes, hygiene",,en,draft
6036,Until when is the baby&#039;s equipment sterilised?,"<p>Baby feeding utensils (bottles, cups, saucers, cups, spoons) should be sterilised in the first 6 months. When the introduction of solid food is started, when the baby begins to sit on his own, the utensils from which the baby eats and drinks do not need to be sterilised; it is enough to wash it with warm water and mild detergent.</p>

<p>Although dishes are not sterilised, maintaining hygiene is still very important, especially washing hands before and after food preparation.</p>",46,,,"sterilization, baby accessories",,en,draft
6041,When is the first teeth expected to erupt?,"<p>The growth of deciduous teeth usually begins between 3 and 6 months. By the end of the third year, the child has 20 deciduous teeth, and around the age of six, the deciduous teeth are replaced with permanent ones. The first tooth is usually the lower central incisor - called: ""Unit.""</p>

<p>Don't be surprised if the first tooth is a little late. Some babies are born with one tooth, and others celebrate their first birthday without a single tooth.</p>

<blockquote>
<p>Be sure to take your baby for a regular check-up at the dentist in the period around 6 months, with whom you will consult about the growth and hygiene of the teeth.</p>
</blockquote>",48,,,Teething,,en,draft
6046,When should you start brushing the baby&#039;s teeth?,"<p>It is necessary to start brushing teeth immediately after the first teeth erupt. In the beginning, you can do that only with gauze and physiological solution, and when the first incisors are fully grown, with a small brush that you put on your finger like a thimble. Clean your baby's teeth at least twice a day without toothpaste (optimally after each meal).</p>

<p>After the first year, start using a small amount of mild baby fluoride paste. The toothbrush should be adapted to the child's age (soft and small, fibres of equal length).</p>

<p>The teeth are brushed, one by one, from the gums to the biting surface of the tooth, first the inner part of the tooth, the outer part of the tooth, then the biting surface. The brush is held at a slight angle. Teach your child to take water, rinse their mouth and spit out liquid. Don't forget to wash your tongue as well.</p>

<p>Oral and dental hygiene is very important for the first deciduous teeth because only regular and proper brushing can keep them healthy until permanent teeth fall out and erupt.</p>",47,,,Dental hygiene,,en,draft
6051,Is it necessary to wash children&#039;s toys?,"<p>Children's toys should be washed regularly, that way, you protect the child's health.</p>

<p>Children often put their hands and toys in their mouths, and their hygiene is extremely important for preventing various infections.</p>

<p>Wash all toys with liquid dishwashing detergent, rinse well under running water and dry. For toys that the child uses in the bathtub, check when rinsing that no water is retained. You can wash the plush toys in the washing machine (every 15 days) and forge the cutters and rattles every day in a pot with a little liquid detergent.</p>",446,59,60,"hygiene, toy hygiene",,en,draft
6056,Does the baby need a pillow?,"<p>Babies up to one-year-old do not need a pillow, it is enough to put a diaper or an empty pillow under the head. You can buy the first pillow around the age of one, although most often, a child needs a pillow around the age of two.</p>

<p>If the child does not want to use the pillow, put it under his head, do not insist on using it.</p>

<p>The pillow should be thin, from 10 to 15 centimetres. The pillow's surface should be sufficient so that the child's head does not slip off the pillow when turning.</p>

<p>Children do not need anatomical pillows.</p>

<p>It is recommended to use pillows made of modern anti-allergy materials to wash and change them regularly for a year.</p>",50,,,"pillow, sleeping on a pillow",,en,draft
6061,What types of baby strollers are there?,"<p>You can choose a baby stroller according to the environment, lifestyle, conditions in which you live. </p>

<p>There are standard baby strollers- the seat is adjustable in three positions.</p>

<p>Strollers with a newborn basket - the basket is mounted on the stroller, it is used in the first months.</p>

<p>Baby strollers with car seats, which are practical and mandatory from the first day when driving.</p>

<p>Trio systems or three in one - the most practical strollers are most often bought. Easy to use, useful for the car.</p>",50,59,60,trolley,,en,draft
6066,When is it time for the first walk out of the house with a newborn baby?,"<p>The baby can be waled out of the house from the 15th day of life with the observance of certain recommendations. The first-day stay is from 5 to 10 min, to start next to the house, and then in the following days, the length of stay increases by 10 minutes. The length of stay depends on the season and climatic conditions.</p>

<p>In summer, avoid the hottest part of the day from 11 am to 5 pm, and in winter, take the baby out during the period of the day when there is the most sunlight and when it is the warmest, around noon.</p>",43,59,60,"Nature walk, first walk",,en,draft
6071,Can babies be taken for walks in the winter?,"<p>The baby is taken for a walk and during the winter!</p>

<p>The exception is when the temperature is below -10 ° C, there is a strong wind, rain, snow, and sometimes there is fog. Strong wind affects the body to lose heat faster, even when the thermometer does not show extremely low temperatures. Walk around noon is better as it’s the hottest part of the day. Dry, cool air dries the baby's delicate skin. Before going out in the cold air, apply a protective cream to your baby's face. Also, take care of sun protection; although it is cold, the UV index can be high, especially in mountains and snow. Use creams with a protective factor adapted to the age of the baby.</p>

<p>Dress the baby in layers. Use a spacesuit or a thicker blanket.</p>",51,59,60,"Winter, a walk",,en,draft
6076,At what time of day should the baby be taken for a walk?,"<p>Since babies do not have a developed thermoregulation center, during summer they can be very warm, even more than you. The baby should not be taken out of the house when the temperature is over 35<sup>0</sup>C. The summer walk is safest in the morning until 11am and late afternoon, after 5pm, with mandatory sun protection measures (umbrella, protective creams, goggles).</p>

<blockquote>
<p>Do not expose the baby to open solar radiation.</p>
</blockquote>

<p>Avoid walking in urban parts of the city, walk in the shade, in nature. Make sure the baby is warm. Do not let it sweat, get red in the face, body or be warm to the touch. Breastfeed the baby more often or offer her/him water.</p>",51,59,60,"summer, Sun safety",,en,draft
6081,What is the best way to protect a child from mosquito bites?,"<p>The best protection against mosquito bites is a combination of several measures taken, such as:</p>

<ul>
	<li>placing a safety net on windows and doors, baby crib and stroller.</li>
	<li>placing a small portable mosquito repellent device on the stroller and crib.</li>
	<li>avoiding staying in nature without protection during the period of the greatest activity of mosquitoes (evening hours).</li>
	<li>mandatory use of repellents (protective preparations) on uncovered parts of the body according to the manufacturer's instructions and the age of the child.</li>
	<li>during the stay in nature, the wardrobe should cover most of the body (long sleeves, long legs).</li>
</ul>",446,59,60,"spring, mosquito bite",,en,draft
6086,Does the baby need a hose (swimming reel)?,"<p>There are several types of hoses for babies and young children. Always choose the highest quality and safest.</p>

<p>There are hoses with leg slots, which are safer than a regular hose, but only if the parent is with the child. A child can roll over with the hose or slip out of it, as well as bend the water. Never leave a child alone in the water and away from you, not for a moment, not even in shallow water. When you are in the water with your baby, always stand firmly on your feet, do not go into deep water.</p>

<p> </p>",446,59,60,"summer, beach, sun protection",,en,draft
6091,What things do babies need for a trip?,"<p>Every trip with a baby requires good organization. Prepare a list of necessary things to take with you. A special place on that list is occupied by the list of things that you need during the trip itself.</p>

<p>Bring:</p>

<ul>
	<li>a bag with spare clothes</li>
	<li>blankets </li>
	<li>changing mat</li>
	<li>pillow (for children who use it)</li>
	<li>hand sanitizer</li>
	<li>disposable diapers</li>
	<li>diaper region cream  </li>
	<li>wet wipes</li>
	<li>several bags for disposing of dirty things and garbage</li>
	<li>travel medicine kit</li>
	<li>portable refrigerator</li>
	<li>food</li>
	<li>thermos</li>
	<li>water</li>
</ul>

<p>And last but not least, don't forget some toys and fun.</p>",48,,,"travel, travel equipment",,en,draft
6096,Which means of transport are most convenient for traveling with a baby?,"<p>If it is a matter of further destinations, longer journeys, it is recommended to use air transport.</p>

<p>Parents and babies are first on the list to get on the plane.</p>

<p>Before traveling by plane inquire about the rules of the airline and comply with them. Some airlines have child seats, some allow you to mount their car seats, you can choose a place next to the window and a place in the front of the plane where there are less turbulence. For babies weighing up to 10 kg it is possible to provide a place next to the toilet with a changing counter, and also enter a stroller that can be folded into the cabin.</p>

<p>Bring a baby pacifier, if you do not breastfeed the baby, to reduce the pressure in the ears when landing and taking off by sucking. If you are breastfeeding a baby, give her or him to breastfed when taking off and landing.</p>

<p>There is a meal on the plane for slightly larger children or if you are carrying your baby food, you have to pack it in the prescribed manner. Usually these are transparent plastic zip bags of a defined size. </p>

<p>In hand luggage bring a spare clothing for the baby, be sure to have a blanket and a toy.</p>",48,,,"travel, travel equipment",,en,draft
6101,Do medicines in the medicines travel kit have to be in the original packaging?,"<p>Medicines should not be removed from the original packaging, which also contains instructions for use and the date until which you can use the medicine. On the original packaging under the name of the medicine, the international name of the medicine is written in small letters, and that is important if you are traveling abroad because the medicine is not called the same in all countries of the world.</p>

<p>Carry medicines and auxiliary medicines in a special case or kit intended only for them. Do not keep the kit in a warm place exposed to direct sunlight. It would be best to have a thermo bag or a small hand fridge for that purpose. Also, make sure that the medicine kit is always easily accessible during the trip.</p>",446,59,60,"Medicines, Travel pharmacy",,en,draft
6106,How often should a baby stroller be washed?,"<p>For the first few months, until the baby starts to sit, the stroller does not get very dirty. After each walk, check if the baby may have vomited, if there are no impurities in the carrier or ""egg"", it is enough to change the diaper on which the baby is lying. Wash the wheels and construction of the stroller regularly, depending on how often you drive them. As the baby grows, so does his activity in the stroller, so the stroller gets dirty faster and more. Try to wash the stroller often, especially when there are visible impurities.</p>",50,59,60,,,en,draft
6111,Should a cabbage leaf be placed on the breast?,"<p>When the first problems appear, fullness of the breasts, the beginning of milk stagnation or inflammation of the breast, you can hear advice about the folk remedy - fresh cabbage leaves that are placed on the breast as a compress.</p>

<p>Existing research does not show a statistically significant advantage of cabbage leaf wraps over other cold wraps, and there are risks that need to be considered! There is a risk of Listeria monocytogenes.</p>

<p>It is recommended to use cold water compresses or thermo gel coatings produced for that purpose.</p>",50,59,60,"breastfeeding on demand, mastitis, milking",,en,draft
6126,Who can I talk to about immunisation?,"<p>Your  doctor or home visiting nurse is the best person to talk with about immunisation. Your child’s health professionals know you and your child best. They’ll listen to you, take the time to understand your concerns and answer your questions, and give you the most up-to-date information about immunisations.</p>",,,,"vaccination, immunisation",,en,published
6131,What is an immunisation schedule?,"<p>An immunisation schedule is the recommended and funded immunisations your child needs at certain ages.</p>

<p>In most countries children during the first year of live are vaccinated  against  tuberculosis, hepatitis B, whooping cough, tetanus, diphtheria, poliomyelitis, <em>Haemophilus influenzae</em> type b, rotavirus, pneumococcal infections. In some countries, vaccination against meningococcal diseases are also administered.</p>

<p>At 9-15 month of age a vaccines against measles, mumps, rubella  are usually given. Since it is important to keep the protection against some diseases for a long time, repeated vaccinations of some vaccines (also called ""boosters"" since they aim to boost the immunological protection) are given during childhood and adult life.</p>",,,,"vaccination, immunisation, child health",,en,published
6136,Why is it important to follow the National Immunisation Program schedule?,"<p>Different immunisations are scheduled at different ages to ensure that your child builds up enough immunity before the risk of getting the disease gets higher. At certain ages, your child’s immune system responds best to the vaccine.</p>",,,,"immunisation, vaccination, child health",,en,published
6141,What should I do if my child misses an immunisation on the National Immunisation Program schedule?,"<p>If your child misses one or more immunisations, talk to your doctor or immunisation provider as soon as possible. This health professional can recommend a ‘catch-up’ immunisation schedule to get your child up to date with the recommended immunisations. This will ensure your child has the right amount of immunity for her age.</p>",,,,"immunisation, vaccination, child health",,en,published
6146,Can children get infectious diseases if they’re fully immunised?,"<p>A fully immunised child might get an infectious disease if:</p>

<ul>
	<li>the infection comes from a virus or bacteria that doesn’t have a vaccine. For example until there is good vaccine for corona virus children and adults can get covid-19 infection.</li>
	<li> </li>
	<li>the child gets the infection before the immunisation starts to work</li>
	<li>the immunisation hasn’t worked well enough– for example, one dose immunisation for measles works only around 90% of the time. But those who have been immunised and still get the disease tend to get a milder version.</li>
</ul>",,,,"immunisation, child health, vaccination",,en,published
6151,How can I prepare my young child for immunisation?,"<p>You might find it helps to prepare your child for immunisation by talking about what’s going to happen in language your child can understand. You could also read a book about immunisations or play a game about going to the doctor with your child.</p>

<p>If your child is older it is important to be honest with your child. Explain that shots can pinch or sting, but that it won’t hurt for long. Explain that vaccine can keep him healthy and do not threaten your child with shots.</p>",,,,"vaccination, immunisation, child health",,en,published
6156,What should I do if my young child gets upset during or after immunisation?,"<p>Many children find immunisation injections upsetting and uncomfortable. It’s normal for children to cry and wriggle.</p>

<p>During an immunisation injection, you could try:</p>

<ul>
	<li>breastfeeding, if your child is still breastfeeding</li>
	<li>distracting your child with toys</li>
	<li>giving sweet liquids like sucrose syrup immediately before the injection</li>
	<li>reading a favourite book with your child</li>
	<li>giving your child a favourite blanket or soft toy to cuddle.</li>
</ul>

<p>There are some anaesthetic creams or gels that can numb the area of the injection, but whether they’re OK for your child depends on your child’s age and personal circumstances. You’ll need to ask your immunisation provider.</p>

<p>Changing your child’s position or moving around with your child immediately after immunisation can sometimes distract your child and reduce distress.</p>

<p>For older children:</p>

<p>You can point out interesting things in the room to help create distractions. Take deep breaths with your child to help “blow out” the pain. Never scold a child for not “being brave.” But support the child if she cries.</p>

<p>Fainting (syncope) can be common among adolescents immediately after getting shots. To help prevent any injuries that could occur from a fall while fainting, have your child stay seated for 15 minutes after the shot.</p>

<p>Ask the  doctor about using non-aspirin pain reliever and other steps you can take at home to comfort your child.</p>",,,,"child health, immunisation, vaccination",,en,published
6161,Can my child be immunised if he’s unwell?,"<p>If your child has a minor illness like a cough or cold, it’s safe for him to be immunised. If your child has a fever or is very unwell, it’s best to delay immunisation until he’s better. Your doctor or immunisation provider will let you know whether your child is well enough to have the immunisation.</p>",,,,"immunisation, vaccination, child health",,en,published
6166,Premature babies: how does immunisation work for them?,"<p>Premature babies generally get the same immunisations at the same age as full-term babies. Premature babies especially need the protection of immunisation because they’re more likely to get certain infections.</p>

<p>If your baby was very premature, she might get her first immunisations while she’s still in hospital. She might also need an extra dose of some vaccines when she’s older.</p>

<p>It’s best to talk with your child’s doctor about your child’s needs.</p>",,,,"immunisation, child health, vaccination",,en,published
6171,Parents: do they need immunisation?,"<p>Yes, parents need immunisations, and they need to be up to date with the right immunisations for their age. The most important immunsations that parents get include annual influenza vaccine and tetanus vaccine.</p>

<p>Parents also have to be updated with vaccination. For example to be appropriately immunised against measles, rubella, mumps, chickenpox and whooping cough. By doing this they protect not only themselves but also their babies and the rest of the family. If you are not sure whether you are update with vaccinations,</p>

<p>It’s best to talk with your doctor about your immunisation status.</p>",,,,"immunisation, vaccination, child health",,en,published
6176,Pregnant women: what immunisations do they need?,"<p>If you’re <strong>planning to get pregnant</strong>, you should check whether you’re immune to measles, mumps, rubella, and whooping cough.</p>

<p>If you’re <strong>already pregnant</strong>, it’s a good idea to speak with your doctor about your immunisation status. A whooping cough booster is recommended during the 3<sup>rd</sup> trimester. Influenza immunisation is also recommended. These immunisations protect you during pregnancy and also protect your newborn.</p>",,,,"immunisation, vaccination, child health",,en,published
6181,Does immunisation have side effects?,"<p>Immunisation can have some side effects. However the overwhelming majority of these side effects are mild and go away by themselves.</p>

<p>This is because immunisation involves getting a medicine (the vaccine). Like other medicines, vaccines can have side effects. But not all symptoms that happen after immunisation are caused by the vaccine. They might just happen by chance.</p>

<p> Some immunisations have been shown to have more serious side effects, but these are extremely rare.</p>

<p>Side effects can happen straight away or take a few days to show up.</p>",,,,"vaccination, immunisation, child health",,en,published
6186,What are some of the side effects of immunisation?,"<p><strong>Mild, common and normal side effects</strong> of immunisation include:</p>

<ul>
	<li>soreness at the injection site</li>
	<li>fever, vomiting and headaches</li>
	<li>feeling generally unwell.</li>
</ul>

<p>More <strong>serious and rare side effects</strong> in young children include:</p>

<ul>
	<li>febrile convulsions – these are a response to fever, not a response to the vaccine itself. However, vaccines do not cause epilepsy.</li>
	<li>anaphylaxis – the risk of anaphylaxis after immunisation is 1 in 1 million</li>
	<li>bowel obstruction in the week after the rotavirus immunisation – this happens to only 1 out of 30,000-50,000 children getting the vaccine.</li>
</ul>",,,,"child health, vaccination, immunisation",,en,published
6191,What should I do if I think my child is experiencing serious side effects from immunisation?,"<p>If you think your child is having serious side effects from immunisation, seek medical help by contacting your GP or calling/going to your local hospital emergency department.</p>",,,,"immunisation, immunization, child health, vaccination",,en,published
