ID,Title,Body,Child_age,Growth_type,Standard_deviation,Related_articles,Mandatory_content,Moderation_state,Translation_language
23036,περισσότερα σχετικά με την ανάπτυξη τους πρώτους 6 μήνες –σοβαρή καθυστέρηση ανάπτυξης,"Επείγον! Η ανάπτυξη του παιδιού σας καθυστερεί σοβαρά. Κλείστε ραντεβού με τον παιδίατρο για επιπλέον εξετάσεις, αποκτήστε την κατάλληλη θεραπεία και καθορίστε τις δυναμικές για καλύτερη παρακολούθηση της ανάπτυξης του παιδιού!","1st month, 2nd month, 3-4 months, 5-6 months",Height for age,below -3SD,"3401, 3341, 3346",1,published,
23037,περισσότερα σχετικά με την ανάπτυξη από 7 εώς 9 μηνών – σοβαρή καθυστέρηση ανάπτυξης,"Επείγον! Η ανάπτυξη του παιδιού σας καθυστερεί σοβαρά. Κλείστε ραντεβού με τον παιδίατρο για επιπλέον εξετάσεις, αποκτήστε την κατάλληλη θεραπεία και καθορίστε τις δυναμικές για καλύτερη παρακολούθηση της ανάπτυξης του παιδιού!",7-9 months,Height for age,below -3SD,"3406, 3351, 3346, 3606",1,published,
23038,περισσότερα σχετικά με την ανάπτυξη από 10 εώς 12 μηνών – σοβαρή καθυστέρηση ανάπτυξης,"Επείγον! Η ανάπτυξη του παιδιού σας καθυστερεί σοβαρά. Κλείστε ραντεβού με τον παιδίατρο για επιπλέον εξετάσεις, αποκτήστε την κατάλληλη θεραπεία και καθορίστε τις δυναμικές για καλύτερη παρακολούθηση της ανάπτυξης του παιδιού!",10-12 months,Height for age,below -3SD,"3411, 3356, 3346, 3606",1,published,
23039,περισσότερα σχετικά με την ανάπτυξη από 13 εώς 24 μηνών – σοβαρή καθυστέρηση ανάπτυξης,"Επείγον! Η ανάπτυξη του παιδιού σας καθυστερεί σοβαρά. Κλείστε ραντεβού με τον παιδίατρο για επιπλέον εξετάσεις, αποκτήστε την κατάλληλη θεραπεία και καθορίστε τις δυναμικές για καλύτερη παρακολούθηση της ανάπτυξης του παιδιού!","13-18 months, 19-24 months",Height for age,below -3SD,"3391, 3386, 3361, 3606",1,published,
23040,περισσότερα σχετικά με την ανάπτυξη από 25 εώς 60 μηνών – σοβαρή καθυστέρηση ανάπτυξης,"Επείγον! Η ανάπτυξη του παιδιού σας καθυστερεί σοβαρά. Κλείστε ραντεβού με τον παιδίατρο για επιπλέον εξετάσεις, αποκτήστε την κατάλληλη θεραπεία και καθορίστε τις δυναμικές για καλύτερη παρακολούθηση της ανάπτυξης του παιδιού!","25-36 months, 37-48 months, 49-60 months, 61-72 months",Height for age,below -3SD,"3396, 5891, 3366, 3606",1,published,
23041,περισσότερα σχετικά με την ανάπτυξη τους πρώτους 6 μήνες- πάνω από το μέσο όρο  (Μ.Ο.) μήκους/ύψους για την ηλίκια,Το παιδί σας μεγαλώνει έχοντας ύψος παραπάνω απο το φυσιολογικό για την ηλικία και γένος του. Είναι πιθανόν να είναι το αποτέλεσμα του γενετικού του δυναμικού παρ’όλα αυτά πρέπει να το συζητήσετε με τον παιδίατρο. Aκολουθήστε τις εγκριθείσες συστάσεις και παρακολουθήστε την ανάπτυξη του παιδιού σας σε τακτά χρονικά διαστήματα,"1st month, 2nd month, 3-4 months, 5-6 months",Height for age,above + 3SD,"3401, 3341, 3346",1,published,
23042,περισσότερα σχετικά με την ανάπτυξη από 7 εώς 9 μηνών- πάνω από το μέσο όρο  (Μ.Ο.) μήκους/ύψους για την ηλίκια,Το παιδί σας μεγαλώνει έχοντας ύψος παραπάνω απο το φυσιολογικό για την ηλικία και γένος του. Είναι πιθανόν να είναι το αποτέλεσμα του γενετικού του δυναμικού παρ’όλα αυτά πρέπει να το συζητήσετε με τον παιδίατρο. Aκολουθήστε τις εγκριθείσες συστάσεις και παρακολουθήστε την ανάπτυξη του παιδιού σας σε τακτά χρονικά διαστήματα,7-9 months,Height for age,above + 3SD,"3406, 3351, 3346",1,published,
23043,περισσότερα σχετικά με την ανάπτυξη από 10 εώς 12 μηνών- πάνω από το μέσο όρο  (Μ.Ο.) μήκους/ύψους για την ηλίκια,Το παιδί σας μεγαλώνει έχοντας ύψος παραπάνω απο το φυσιολογικό για την ηλικία και γένος του. Είναι πιθανόν να είναι το αποτέλεσμα του γενετικού του δυναμικού παρ’όλα αυτά πρέπει να το συζητήσετε με τον παιδίατρο. Aκολουθήστε τις εγκριθείσες συστάσεις και παρακολουθήστε την ανάπτυξη του παιδιού σας σε τακτά χρονικά διαστήματα,10-12 months,Height for age,above + 3SD,"3411, 3356, 3346",1,published,
23044,περισσότερα σχετικά με την ανάπτυξη από 13 εώς 24 μηνών- πάνω από το μέσο όρο  (Μ.Ο.) μήκους/ύψους για την ηλίκια,Το παιδί σας μεγαλώνει έχοντας ύψος παραπάνω απο το φυσιολογικό για την ηλικία και γένος του. Είναι πιθανόν να είναι το αποτέλεσμα του γενετικού του δυναμικού παρ’όλα αυτά πρέπει να το συζητήσετε με τον παιδίατρο. Aκολουθήστε τις εγκριθείσες συστάσεις και παρακολουθήστε την ανάπτυξη του παιδιού σας σε τακτά χρονικά διαστήματα,"13-18 months, 19-24 months",Height for age,above + 3SD,"3391, 3386, 3361",1,published,
23045,περισσότερα σχετικά με την ανάπτυξη από 25 εώς 60 μηνών- πάνω από το μέσο όρο  (Μ.Ο.) μήκους/ύψους για την ηλίκια,Το παιδί σας μεγαλώνει έχοντας ύψος παραπάνω απο το φυσιολογικό για την ηλικία και γένος του. Είναι πιθανόν να είναι το αποτέλεσμα του γενετικού του δυναμικού παρ’όλα αυτά πρέπει να το συζητήσετε με τον παιδίατρο. Aκολουθήστε τις εγκριθείσες συστάσεις και παρακολουθήστε την ανάπτυξη του παιδιού σας σε τακτά χρονικά διαστήματα,"25-36 months, 37-48 months, 49-60 months, 61-72 months",Height for age,above + 3SD,"3396, 5891, 3366",1,published,
